dataset,clf,sampler,condition,seed,contam,f1,precision,recall,mcc,roc_auc,pr_auc,error
saudi_attrition,5NN,RandomOS,correct,0,0.1456953642384106,0.6261398176291794,0.5919540229885057,0.6645161290322581,0.3120421258715212,0.7258859049737805,0.6255754415162498,
saudi_attrition,SVM-RBF,RandomOS,leaked,0,0.1456953642384106,0.7735368956743003,0.8,0.7487684729064039,0.5627314338711378,0.8715814506539834,0.8717641472074799,
saudi_attrition,SVM-RBF,RandomOS,correct,0,0.1456953642384106,0.7507692307692307,0.7176470588235294,0.7870967741935484,0.5463627178073278,0.8634355633243287,0.8260447202829232,
saudi_attrition,RandForest,RandomOS,leaked,0,0.1456953642384106,0.8177339901477833,0.8177339901477833,0.8177339901477833,0.6354679802955665,0.9125555097187508,0.9170587120838964,
saudi_attrition,RandForest,RandomOS,correct,0,0.1456953642384106,0.7692307692307693,0.7352941176470589,0.8064516129032258,0.5802305210466832,0.8906880661051962,0.8729228912780626,
saudi_attrition,GradBoost,RandomOS,leaked,0,0.1456953642384106,0.7692307692307693,0.8021390374331551,0.7389162561576355,0.5583873651763198,0.8874760367880803,0.8988221603593608,
saudi_attrition,GradBoost,RandomOS,correct,0,0.1456953642384106,0.7940298507462686,0.7388888888888889,0.8580645161290322,0.620889950358475,0.908183696170348,0.8998796532766571,
saudi_attrition,XGBoost,RandomOS,leaked,0,0.1456953642384106,0.8059701492537313,0.8140703517587939,0.7980295566502463,0.615883121243276,0.8977165182363077,0.90886872748546,
saudi_attrition,XGBoost,RandomOS,correct,0,0.1456953642384106,0.7607361963190185,0.7251461988304093,0.8,0.5639034874520856,0.8991260130303511,0.8888798151132569,
saudi_attrition,LogReg,none,none,1,,0.7491408934707904,0.8014705882352942,0.7032258064516129,0.5821180192070892,0.87706976005085,0.8718310674738242,
saudi_attrition,DecTree,none,none,1,,0.7166123778501629,0.7236842105263158,0.7096774193548387,0.5040077412141699,0.8293659621802003,0.7619134663490987,
saudi_attrition,5NN,none,none,1,,0.631578947368421,0.6442953020134228,0.6193548387096774,0.3601300503154493,0.7403464166534244,0.625417567804933,
saudi_attrition,SVM-RBF,none,none,1,,0.7328767123287672,0.781021897810219,0.6903225806451613,0.5530809165588609,0.8638169394565389,0.8368374522334802,
saudi_attrition,RandForest,none,none,1,,0.7389830508474576,0.7785714285714286,0.7032258064516129,0.5589743782846202,0.8738280629270618,0.857361751717986,
saudi_attrition,GradBoost,none,none,1,,0.7671232876712328,0.8175182481751825,0.7225806451612903,0.6110748735994772,0.8872080088987765,0.8766088182297819,
saudi_attrition,XGBoost,none,none,1,,0.7635135135135135,0.8014184397163121,0.7290322580645161,0.5994270029637605,0.8979183219450182,0.8920258026661312,
saudi_attrition,LogReg,SMOTE,leaked,1,0.152317880794702,0.8029925187032418,0.8131313131313131,0.7931034482758621,0.6110228091887187,0.8987599796161033,0.911524818289952,
saudi_attrition,LogReg,SMOTE,correct,1,0.152317880794702,0.7395498392282959,0.7371794871794872,0.7419354838709677,0.5395622126002146,0.8764341331638329,0.870929057995222,
saudi_attrition,DecTree,SMOTE,leaked,1,0.152317880794702,0.7711442786069652,0.7788944723618091,0.7635467980295566,0.5469042116640291,0.8358004319444781,0.8327168568347134,
saudi_attrition,DecTree,SMOTE,correct,1,0.152317880794702,0.7266666666666667,0.7517241379310344,0.7032258064516129,0.5308008333409489,0.8458604798982996,0.804450669789708,
saudi_attrition,5NN,SMOTE,leaked,1,0.152317880794702,0.7288888888888889,0.6639676113360324,0.8078817733990148,0.4087313785994495,0.7567278992453106,0.6940047895881952,
saudi_attrition,5NN,SMOTE,correct,1,0.152317880794702,0.6492753623188405,0.5894736842105263,0.7225806451612903,0.3359240923960299,0.7275862068965517,0.610930620860791,
saudi_attrition,SVM-RBF,SMOTE,leaked,1,0.152317880794702,0.7961630695443646,0.7757009345794392,0.8177339901477833,0.5821360654983455,0.8796864762551869,0.8851070423377863,
saudi_attrition,SVM-RBF,SMOTE,correct,1,0.152317880794702,0.7289719626168224,0.7048192771084337,0.7548387096774194,0.5101704713892725,0.8496742412204036,0.8118319455167305,
